emotion,text
fear,"Okay, so twitter suddenly changed, how do I respond to messages now"
fear,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
anger,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
fear,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
anger,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
happy,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
anger,my roommate @tess_tickle loves to ignore me
happy,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
sadness,my teeth and head hurts
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
anger,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
sadness,Waiting in line @ tryst
fear,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
fear,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
fear,I need to be held...  Gnite.
fear,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
sadness,no more arrested development. i am sad.
sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
sadness,I feel so deflated. No more doggy.
fear,@blood_rain i wanna see her hair  hows everyone?
sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
fear,Aww...  Pray for the arroyo family everyone!
sadness,Fuuudge. Movie store is closed
sadness,ALO is so sad and quiet and empty tonight
anger,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
fear,@wuzzyangel You never answered your DM I sent you....   I need your info...
fear,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
fear,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
fear,@jose3030 I didn't think anyone caught that
sadness,Sad that Christian Lacroix had to file bankruptcy
sadness,I dont feel good AT ALL. fuckkk
sadness,why did i agree to work a double shift
fear,looks like i'll never go to the zoo
fear,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
fear,@Moss1982 bad times?
anger,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
sadness,Have to go to the dreaded DMV tomorrow
happy,english class! working on interactive orals
fear,@SharonHayes Thank you for the rec but that doesn't work
fear,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
fear,I don't know how ima work out tomorrow wit my body dis sore  ugh
fear,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
fear,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
fear,"Lady across the way had a miscarriage, say a prayer"
sadness,God I just want to sleep.
anger,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
fear,I feel so deflated. No more doggy.
sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
anger,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
fear,is feeling bad  just got bad news about my Mum
sadness,@RealBlackWidow But but I dun wanna
sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
fear,don't feel like working  I think I tweet this too often!
sadness,feels sick to my stomach and idkk whyy
fear,vineri...nimic special sau probabil un alt weekend pierdut...
surprise,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
happy,is home.  safely... but hungry
sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
fear,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
anger,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
happy,FB is boring   and i wanna sing RIGHT NOW..! *-*
sadness,@judyrey  The link doesn't work
fear,The humpalow um ya I think so... Cell is dying
fear,Last day at work...Sick to the bone
fear,i feel like I'm on house arrest.
surprise,@heavenjones ur supposed to be in BK tho
fear,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
surprise,Oh no!  Nighty night.
happy,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
sadness,my stupid tooooth hurts
love,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
fear,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
fear,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
fear,my dog ran awayyy
anger,@all_is_one84 Those suck so bad.
fear,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
happy,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
fear,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
love,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
anger,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
sadness,@Penguin_J heehee. i love you! i am tired.
fear,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
fear,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
fear,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
happy,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
fear,@charloro jealous  it looks like schindler's list in toronto
happy,I want another tatt
happy,"So, I need to make a lot of money tomorrow"
sadness,@joiskol  being in your room makes me sad.
fear,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
surprise,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
sadness,@meljachin: eww. dislike
fear,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
sadness,"@SuzyDunkley sorry bout the cat,"
fear,my stomach feels like it's touching the ground..i'm SO full
love,Pug just woke me from an incredible sleep!
love,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
fear,Sooo much work so little time
sadness,missed iron chef
sadness,@thevowel the DS version sucks
sadness,what a bad day
happy,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
anger,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
fear,"Ugh, my internet was down!"
surprise,omg i didnt tweet all that much today.... *sadness*
fear,is feeling so giddy and wanna go home.
fear,Up and packing. Its the last day of youth camp
fear,Somebody please save the polar bears!
happy,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
surprise,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
fear,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.
fear,guess im staying home tonight...no movie-ing for me
sadness,went to the cd store to search for the cd. But
fear,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs
sadness,I miss my mom..  &quot;May angels lead you in&quot;
love,there's really no android twitter app of Tweetie's calibre
anger,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
sadness,@chocolovere i feel the same way every day
sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
sadness,So have a headache right now and it sucks
fear,@JayDz hope ya sleepin well  guys still here
happy,"i should be finished.... but i'm not.  color drawing, here i come."
sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
fear,damn being drunk and hot sucks
sadness,misses my baby.
fear,is not sleeping because he has paperwork to do.
fear,Showered in ice-cold water. Sweating now. Means one thing: I'm sick
fear,"midnight cry.. wish the person I wanted, wanted me right now"
sadness,I'm poorly and can't sleep
fear,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
fear,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz"
fear,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again
fear,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."
fear,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!
fear,didnt say goodnight to you
anger,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
sadness,has work tom.
love,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
anger,fuckin'm transtelecom
sadness,"is really, really bored... I guess I will go to bed"
fear,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store
surprise,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
sadness,@nickkk_ that sucks!
sadness,Having Fever  dont feel to work
fear,"Taking Horse Pills, hoping I can get some sleep tonight"
sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
anger,@juliaiiivir Hey! That's my school! I hate that place.
sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
happy,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
fear,"Looks like it's going to be too nice to work today, how annoying as I have no choice"
fear,is desperatly hoping my dad takes me to vanessa's game
fear,@pb_and_jay hi!  Fuck your job!
sadness,Missing you all deeply
happy,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
fear,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =(("
sadness,I don't want her to leave..
happy,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.
happy,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
anger,Working   But it's Fridaaaayyyyy
fear,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.
fear,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late
sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
surprise,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
sadness,@WillyNorthpole I wish I was there
sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
sadness,morning again! I hate mornings. So offensive!
sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
sadness,@brianshead waah. We're no longer your peeps.
sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
surprise,Extremly deep
happy,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
happy,one week till exam block
fear,hoping i didn't fail english. that would just be sad
fear,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.
sadness,@MariusLT I'm sorry about your bad driving experiences.
sadness,Already misses @CMontecillo
anger,"plan may changes , nooooooo"
anger,my sister is a douchebag
surprise,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
fear,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
fear,@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles
